dateTime,timestamp,status,latitude,latitudeDirection,longitude,longitudeDirection,speedOverGround,trueCourse,dateStamp,magVariation,magVariationDirection
2019-04-30 22:17:02.043391,22:17:04,A,3259.52662,N,09645.47218,W,0.054,,2019-04-30,,
2019-04-30 22:17:05.048479,22:17:07,A,3259.52716,N,09645.47225,W,0.063,,2019-04-30,,
2019-04-30 22:17:08.046403,22:17:10,A,3259.52806,N,09645.47278,W,0.103,,2019-04-30,,
2019-04-30 22:17:11.050265,22:17:13,A,3259.52877,N,09645.47313,W,0.077,,2019-04-30,,
2019-04-30 22:17:14.041627,22:17:16,A,3259.52931,N,09645.47333,W,0.248,,2019-04-30,,
2019-04-30 22:17:17.043426,22:17:19,A,3259.52965,N,09645.47344,W,0.069,,2019-04-30,,
2019-04-30 22:17:20.043442,22:17:22,A,3259.52943,N,09645.47321,W,0.043,,2019-04-30,,
2019-04-30 22:17:23.041613,22:17:25,A,3259.52919,N,09645.47300,W,0.049,,2019-04-30,,
2019-04-30 22:17:28.041850,22:17:30,A,3259.52907,N,09645.47254,W,0.134,,2019-04-30,,
2019-04-30 22:17:31.052875,22:17:33,A,3259.52953,N,09645.47254,W,0.181,,2019-04-30,,
2019-04-30 22:17:34.044435,22:17:36,A,3259.52971,N,09645.47232,W,0.037,,2019-04-30,,
2019-04-30 22:17:39.049448,22:17:41,A,3259.52980,N,09645.47210,W,0.2,,2019-04-30,,
2019-04-30 22:17:42.047054,22:17:44,A,3259.52979,N,09645.47186,W,0.562,,2019-04-30,,
2019-04-30 22:17:45.047014,22:17:47,A,3259.52963,N,09645.47165,W,0.106,,2019-04-30,,
2019-04-30 22:17:48.048488,22:17:50,A,3259.52962,N,09645.47147,W,0.43,,2019-04-30,,
2019-04-30 22:17:51.049301,22:17:53,A,3259.52962,N,09645.47136,W,0.043,,2019-04-30,,
2019-04-30 22:17:54.048875,22:17:56,A,3259.52955,N,09645.47124,W,0.021,,2019-04-30,,
2019-04-30 22:17:57.050228,22:17:59,A,3259.52957,N,09645.47118,W,0.176,,2019-04-30,,
2019-04-30 22:18:00.050198,22:18:02,A,3259.52940,N,09645.47112,W,0.243,,2019-04-30,,
2019-04-30 22:18:03.047330,22:18:05,A,3259.52935,N,09645.47107,W,0.512,,2019-04-30,,
2019-04-30 22:18:06.046955,22:18:08,A,3259.52925,N,09645.47097,W,0.098,,2019-04-30,,
2019-04-30 22:18:09.049641,22:18:11,A,3259.52932,N,09645.47091,W,0.272,,2019-04-30,,
2019-04-30 22:18:12.047166,22:18:14,A,3259.52906,N,09645.47089,W,0.046,,2019-04-30,,
2019-04-30 22:18:15.049913,22:18:17,A,3259.52885,N,09645.47082,W,0.067,,2019-04-30,,
2019-04-30 22:18:18.046239,22:18:20,A,3259.52882,N,09645.47085,W,0.231,,2019-04-30,,
2019-04-30 22:18:23.048122,22:18:25,A,3259.52841,N,09645.47090,W,0.187,,2019-04-30,,
2019-04-30 22:18:26.047844,22:18:28,A,3259.52828,N,09645.47096,W,0.438,,2019-04-30,,
2019-04-30 22:18:29.048876,22:18:31,A,3259.52827,N,09645.47108,W,0.107,,2019-04-30,,
2019-04-30 22:18:32.046714,22:18:34,A,3259.52862,N,09645.47124,W,0.06,,2019-04-30,,
2019-04-30 22:18:35.049286,22:18:37,A,3259.52894,N,09645.47133,W,0.155,,2019-04-30,,
2019-04-30 22:18:38.046685,22:18:40,A,3259.52923,N,09645.47145,W,0.189,,2019-04-30,,
2019-04-30 22:18:41.048707,22:18:43,A,3259.52938,N,09645.47151,W,0.603,,2019-04-30,,
2019-04-30 22:18:44.047126,22:18:46,A,3259.52945,N,09645.47157,W,0.073,,2019-04-30,,
2019-04-30 22:18:47.048709,22:18:49,A,3259.52952,N,09645.47158,W,0.401,,2019-04-30,,
2019-04-30 22:18:50.047169,22:18:52,A,3259.52951,N,09645.47161,W,0.203,,2019-04-30,,
2019-04-30 22:18:53.048091,22:18:55,A,3259.52938,N,09645.47158,W,0.225,,2019-04-30,,
2019-04-30 22:18:56.047513,22:18:58,A,3259.52940,N,09645.47150,W,0.168,,2019-04-30,,
2019-04-30 22:18:59.048955,22:19:01,A,3259.52947,N,09645.47152,W,0.073,,2019-04-30,,
2019-04-30 22:19:02.047462,22:19:04,A,3259.52945,N,09645.47150,W,0.161,,2019-04-30,,
2019-04-30 22:19:05.047904,22:19:07,A,3259.52942,N,09645.47139,W,0.044,,2019-04-30,,
2019-04-30 22:19:08.047934,22:19:10,A,3259.52940,N,09645.47136,W,0.262,,2019-04-30,,
2019-04-30 22:19:11.049528,22:19:13,A,3259.52958,N,09645.47132,W,0.248,,2019-04-30,,
2019-04-30 22:19:14.047842,22:19:16,A,3259.52948,N,09645.47121,W,0.652,,2019-04-30,,
2019-04-30 22:19:17.049290,22:19:19,A,3259.52947,N,09645.47109,W,0.097,,2019-04-30,,
2019-04-30 22:19:20.046978,22:19:22,A,3259.52941,N,09645.47092,W,0.312,,2019-04-30,,
2019-04-30 22:19:23.046347,22:19:25,A,3259.52925,N,09645.47067,W,0.089,,2019-04-30,,
2019-04-30 22:19:26.047418,22:19:28,A,3259.52926,N,09645.47052,W,0.161,,2019-04-30,,
2019-04-30 22:19:29.048733,22:19:31,A,3259.52927,N,09645.47042,W,0.144,,2019-04-30,,
2019-04-30 22:19:32.048929,22:19:34,A,3259.52918,N,09645.47019,W,0.167,,2019-04-30,,
2019-04-30 22:19:35.049004,22:19:37,A,3259.52905,N,09645.46993,W,0.515,,2019-04-30,,
2019-04-30 22:19:38.047663,22:19:40,A,3259.52892,N,09645.46971,W,0.151,,2019-04-30,,
2019-04-30 22:19:41.048105,22:19:43,A,3259.52872,N,09645.46950,W,0.336,,2019-04-30,,
2019-04-30 22:19:44.047121,22:19:46,A,3259.52871,N,09645.46939,W,0.039,,2019-04-30,,
2019-04-30 22:19:47.050620,22:19:49,A,3259.52892,N,09645.46929,W,0.084,,2019-04-30,,
